,GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs,GlobalRank_percentile
9740,9741,4977,kyivindependent.com,com,4397,7437,kyivindependent.com,com,9771,4991,4399,7423,0
5315,5316,2728,milenio.com,com,6538,10797,milenio.com,com,5351,2747,6530,10770,0
3840,3841,2026,hardrock.com,com,7999,13151,hardrock.com,com,3819,2012,8044,13249,0
2276,2277,1228,abebooks.com,com,11199,19225,abebooks.com,com,2285,1230,11206,19183,0
192,193,123,hubspot.com,com,47427,100223,hubspot.com,com,192,122,47395,100302,0
3592,3593,151,upf.edu,edu,8309,12239,upf.edu,edu,3575,150,8357,12270,0
8460,8461,305,ntnu.edu,edu,4829,6643,ntnu.edu,edu,8443,305,4850,6669,0
7978,7979,4068,courrierinternational.com,com,5031,7760,courrierinternational.com,com,7852,3998,5096,7832,0
4636,4637,2392,babbel.com,com,7096,12584,babbel.com,com,4645,2395,7103,12590,0
3436,3437,1818,hellomagazine.com,com,8583,16808,hellomagazine.com,com,3453,1827,8579,16834,0
12550,12551,6431,rhino3d.com,com,3752,5334,rhino3d.com,com,12433,6365,3783,5355,1
16433,16434,8463,yoyogames.com,com,3151,4448,yoyogames.com,com,18018,9228,2970,4224,1
10796,10797,5530,4t.com,com,4115,5382,4t.com,com,10740,5507,4138,5382,1
13907,13908,7127,live5news.com,com,3516,5815,live5news.com,com,13857,7094,3532,5808,1
10907,10908,5589,idealista.com,com,4089,6634,idealista.com,com,10915,5593,4100,6635,1
16514,16515,8511,crsky.com,com,3141,3832,crsky.com,com,16570,8539,3142,3818,1
16337,16338,509,russiabrides.net,net,3165,4122,russiabrides.net,net,16503,515,3150,4111,1
11578,11579,5946,haodf.com,com,3945,5657,haodf.com,com,11602,5955,3954,5671,1
12617,12618,6460,clutchpoints.com,com,3738,6963,clutchpoints.com,com,12745,6515,3721,6933,1
19075,19076,2210,inequality.org,org,2852,4166,inequality.org,org,19080,2213,2858,4157,1
27425,27426,912,valleydentalassociates.net,net,2235,3824,valleydentalassociates.net,net,27311,905,2246,3848,2
22673,22674,11592,digits.com,com,2534,3411,digits.com,com,22324,11418,2567,3431,2
27147,27148,3183,thetaskforce.org,org,2249,3176,thetaskforce.org,org,27178,3189,2254,3174,2
21022,21023,2424,janegoodall.org,org,2667,3723,janegoodall.org,org,21084,2433,2668,3724,2
23472,23473,11979,heygen.com,com,2474,3442,heygen.com,com,23521,11994,2478,3445,2
29892,29893,15233,techlicious.com,com,2119,3097,techlicious.com,com,30543,15533,2095,3074,2
28691,28692,14590,strawberrynet.com,com,2176,2827,strawberrynet.com,com,28755,14617,2179,2814,2
29369,29370,14969,solidwp.com,com,2145,3177,solidwp.com,com,22103,11296,2584,3793,2
29311,29312,14933,adeccogroup.com,com,2148,2870,adeccogroup.com,com,29450,14987,2146,2878,2
22517,22518,164,bbhub.io,io,2546,3579,bbhub.io,io,22498,163,2554,3605,2
